Hash,Tree,Array
1000,30128,216207,673
51000,5219707,948109241,21749
101000,27858901,4273836852,895
151000,66082618,9078112384,1287
201000,145528199,19273814688,1022
251000,208138946,26412432461,977
301000,299271438,39454353241,1177
351000,402257406,59863269428,852
401000,517711281,76477803495,2527
451000,653940388,94496038468,1246
501000,804831884,128700231309,1552
551000,988659906,163635070624,1298
601000,1217219082,209895971810,1686
651000,1383945782,208723123706,1680
701000,1607914119,247712916867,1297
751000,1857958693,300154634238,1019
801000,2120053328,353053230851,1047
851000,2416363902,412792069213,194980
901000,2719815859,478423448197,256645
951000,3017670800,526719471019,1108
