Hash,Tree,Array
1000,232400,557208,347023
51000,11838821,44729625,28674998
101000,25583928,103611610,72534356
151000,39286232,184248220,114597732
201000,54920071,334159967,226516497
251000,70479302,332083320,221358969
301000,88447523,442194168,283909176
351000,114234021,535391607,553510721
401000,133315886,713105945,539648436
451000,136826110,688958672,463125802
501000,156787636,840441990,598836117
551000,185096422,896764105,660949104
601000,193199356,1068175637,752009808
651000,205864712,1074601907,746468263
701000,231543882,1179059563,816367554
751000,243319639,1285804905,896084594
801000,264606885,1392079040,977069759
851000,280346952,1494381352,1056439723
901000,297372045,1608918245,1133778325
951000,313817970,1698422915,1199754339
