Hash,Tree,Array
1000,114057,538705,254742
51000,10179688,988887456,21424881
101000,31540513,4064149860,49486070
151000,68949276,9061131483,83834692
201000,124301708,18216344106,119627263
251000,198497695,27485212977,153137775
301000,268939858,39032379372,200868890
351000,404261888,57527241888,296039884
401000,471219748,79215719648,321792308
451000,659398197,94245602788,317149452
501000,779877943,118264408264,374581453
551000,979766654,153634176111,427555788
601000,1206517986,206215105797,480798260
651000,1388025020,213414895555,500563060
701000,1618346816,239196449714,545404069
751000,1864061834,296916115419,590871632
801000,2147004772,360982929890,638765223
851000,2423524730,437936987742,687271596
901000,2732027080,523209074026,736740246
951000,3027273256,615242184960,782859907
